STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
377,,,Constant,/Generator/upconv_block3/upconv_block3.1/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
378,,,Constant,/Generator/upconv_block3/upconv_block3.1/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
379,,upconv_block4,Constant,/Generator/upconv_block4/upconv_block4.1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
380,,,Constant,/Generator/upconv_block4/upconv_block4.1/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
381,,,Constant,/Generator/upconv_block4/upconv_block4.1/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
382,,,Constant,/Generator/upconv_block4/upconv_block4.1/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
383,,conv_block_out,Constant,/Generator/conv_block_out/post_pad/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
384,,,Constant,/Generator/conv_block_out/post_pad/Constant_1,N/A,N/A,N/A,[4],32,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
385,,,ConstantOfShape,/Generator/conv_block_out/post_pad/ConstantOfShape,N/A,N/A,N/A,[4],32,int64,[1],8,int64,N/A,0,0,,,,N/A,
386,,,Concat,/Generator/conv_block_out/post_pad/Concat,N/A,N/A,N/A,[8],64,int64,[4],32,int64,N/A,0,0,,,,N/A,
